ID|X|Y|Z|[Fe/H]
NGC 104  |  1.8| -2.5| -3.0|-0.76
NGC 288  | -0.1|  0.0| -8.1|-1.24
NGC 362  |  3.0| -4.9| -6.0|-1.16
NGC 1261 |  0.1| -9.8|-12.6|-1.35
Pal 1    | -5.9|  7.0|  3.2|-0.80
AM 1     |-15.9|-77.4|-89.2|-1.80
Eridanus |-47.7|-37.4|-53.4|-1.46
Pal 2    |-26.2|  4.4| -4.2|-1.30
NGC 1851 | -4.3| -9.0| -7.0|-1.26
NGC 1904 | -7.5| -8.1| -6.2|-1.54
NGC 2298 | -4.2| -9.3| -2.9|-1.85
NGC 2419 |-74.4| -0.5| 35.1|-2.12
Pyxis    | -5.8|-37.8|  4.7|-1.20
NGC 2808 |  1.9| -8.9| -1.8|-1.37
E 3      |  1.5| -3.7| -1.4|-0.80
Pal 3    |-33.1|-57.7| 59.6|-1.66
NGC 3201 |  0.6| -5.0|  0.8|-1.48
Pal 4    |-28.8|-11.8| 94.6|-1.48
NGC 4147 | -1.2| -4.0| 18.3|-1.83
NGC 4372 |  2.5| -4.2| -0.8|-2.09
Rup 106  | 10.4|-17.3|  4.2|-1.80
NGC 4590 |  4.0| -7.1|  5.9|-2.06
NGC 4833 |  3.2| -4.8| -0.8|-1.79
NGC 5024 |  2.9| -1.5| 18.2|-2.07
NGC 5053 |  2.8| -1.3| 15.9|-2.29
NGC 5139 |  3.1| -3.8|  1.3|-1.62
NGC 5272 |  1.5|  1.3|  9.8|-1.57
NGC 5286 |  7.0| -7.9|  2.0|-1.67
AM 4     | 18.7|-15.6| 16.1|-2.00
NGC 5466 |  3.5|  3.2| 15.9|-2.22
NGC 5634 | 15.7| -5.1| 19.2|-1.82
NGC 5694 | 25.6|-14.1| 17.1|-1.86
IC 4499  | 10.5|-13.7| -6.4|-1.60
NGC 5824 | 25.7|-13.4| 11.7|-1.85
Pal 5    | 15.8|  0.2| 16.2|-1.38
NGC 5897 | 10.5| -3.2|  6.4|-1.80
NGC 5904 |  5.0|  0.3|  5.3|-1.29
NGC 5927 |  6.2| -4.1|  0.6|-0.37
NGC 5946 | 10.4| -6.6|  0.9|-1.38
BH 176   | 12.9| -8.0|  1.2|
NGC 5986 |  9.2| -3.9|  2.4|-1.67
Lynga 7  |  6.0| -3.6| -0.3|-0.62
Pal 14   | 46.9| 25.7| 48.5|-1.52
NGC 6093 |  8.1| -1.0|  2.9|-1.62
NGC 6121 |  2.0| -0.3|  0.6|-1.20
NGC 6101 | 10.8| -9.8| -4.1|-1.82
NGC 6144 |  9.6| -1.4|  2.7|-1.73
NGC 6139 |  9.9| -3.2|  1.3|-1.65
Terzan 3 | 25.2| -6.7|  4.2|
NGC 6171 |  5.8|  0.3|  2.4|-1.04
1636-283 |  7.4| -1.0|  1.6|
NGC 6205 |  2.7|  4.5|  4.6|-1.54
NGC 6229 |  6.3| 21.4| 19.0|-1.44
NGC 6218 |  4.1|  1.2|  2.1|-1.48
NGC 6235 |  9.5| -0.2|  2.3|-1.40
NGC 6254 |  3.8|  1.0|  1.7|-1.52
NGC 6256 |  9.1| -2.0|  0.5|-0.70
Pal 15   | 37.6| 12.8| 17.9|-1.90
NGC 6266 |  6.6| -0.7|  0.9|-1.29
NGC 6273 |  8.4| -0.5|  1.4|-1.68
NGC 6284 | 14.1| -0.4|  2.5|-1.32
NGC 6287 |  8.3|  0.0|  1.6|-2.05
NGC 6293 |  8.7| -0.4|  1.2|-1.92
NGC 6304 |  5.9| -0.4|  0.6|-0.59
NGC 6316 | 11.4| -0.6|  1.2|-0.55
NGC 6341 |  2.4|  6.1|  4.6|-2.29
NGC 6325 |  9.3|  0.2|  1.3|-1.17
NGC 6333 |  8.1|  0.8|  1.5|-1.72
NGC 6342 |  8.9|  0.8|  1.5|-0.65
NGC 6356 | 14.3|  1.7|  2.6|-0.50
NGC 6355 |  7.0| -0.1|  0.7|-1.50
NGC 6352 |  5.2| -1.8| -0.7|-0.70
IC 1257  | 22.6|  6.7|  6.4|-1.70
Terzan 2 |  9.5| -0.6|  0.4|-0.25
NGC 6366 |  3.3|  1.1|  1.0|-0.82
Terzan 4 |  8.9| -0.6|  0.2|-1.60
HP 1     |  7.2| -0.3|  0.3|-1.50
NGC 6362 |  5.9| -4.0| -2.3|-1.06
Liller 1 | 10.5| -0.9|  0.0| 0.22
NGC 6380 |     |     |     |
Terzan 1 |  6.5| -0.3|  0.1|-0.35
Ton 2    |  7.8| -1.3| -0.5|-0.50
NGC 6388 | 11.1| -2.9| -1.4|-0.60
NGC 6402 |  7.8|  3.1|  2.2|-1.39
NGC 6401 |  7.5|  0.5|  0.5|-1.12
NGC 6397 |  2.0| -0.8| -0.5|-1.95
Pal 6    |  6.7|  0.2|  0.2|-0.10
NGC 6426 | 16.8|  9.0|  5.6|-2.26
Djorg 1  |  9.2| -0.5| -0.4|
Terzan 5 |  8.0|  0.5|  0.2|-0.28
NGC 6440 |  7.9|  1.1|  0.5|-0.34
NGC 6441 |  9.6| -1.1| -0.8|-0.53
Terzan 6 |  7.5| -0.2| -0.3|-0.65
NGC 6453 | 10.9| -0.8| -0.7|-1.53
UKS 1    |  7.5|  0.7|  0.1|-1.20
NGC 6496 | 11.1| -2.4| -2.0|-0.64
Terzan 9 |  7.8|  0.5| -0.3|-1.00
Djorg 2  | 13.8|  0.7| -0.6|
NGC 6517 |  9.9|  3.4|  1.2|-1.37
Terzan 10|  8.3|  0.6| -0.3|-0.70
NGC 6522 |  7.0|  0.1| -0.5|-1.52
NGC 6535 |  5.9|  3.0|  1.2|-1.80
NGC 6528 |  7.4|  0.1| -0.5|-0.17
NGC 6539 |  7.3|  2.8|  0.9|-0.66
NGC 6540 |  3.5|  0.2| -0.2|-1.00
NGC 6544 |  2.5|  0.3| -0.1|-1.56
NGC 6541 |  7.2| -1.4| -1.4|-1.83
NGC 6553 |  4.7|  0.4| -0.2|-0.25
NGC 6558 |  6.4|  0.0| -0.7|-1.44
IC 1276  |  8.6|  3.5|  0.9|
Terzan 12|     |     |     |
NGC 6569 |  8.4|  0.1| -1.0|-0.86
NGC 6584 | 11.8| -3.8| -3.7|-1.49
NGC 6624 |  7.8|  0.4| -1.1|-0.42
NGC 6626 |  5.7|  0.8| -0.6|-1.45
NGC 6638 |  8.0|  1.1| -1.0|-0.99
NGC 6637 |  8.1|  0.2| -1.5|-0.71
NGC 6642 |  7.5|  1.3| -0.9|-1.35
NGC 6652 |  9.2|  0.2| -1.9|-0.96
NGC 6656 |  3.1|  0.5| -0.4|-1.64
Pal 8    | 12.0|  3.0| -1.5|-0.48
NGC 6681 |  8.5|  0.4| -1.9|-1.51
NGC 6712 |  6.0|  2.9| -0.5|-1.01
NGC 6715 | 25.3|  2.5| -6.4|-1.59
NGC 6717 |  6.8|  1.6| -1.3|-1.29
NGC 6723 |  8.2|  0.0| -2.5|-1.12
NGC 6749 |  6.2|  4.6| -0.3|-1.60
NGC 6752 |  3.2| -1.4| -1.7|-1.55
NGC 6760 |  5.9|  4.3| -0.5|-0.52
NGC 6779 |  4.5|  8.7|  1.4|-1.94
Terzan 7 | 21.6|  1.3| -7.9|-0.58
Pal 10   |  3.5|  4.6|  0.3|-0.10
Arp 2    | 25.5|  3.8| -9.8|-1.76
NGC 6809 |  4.8|  0.7| -2.1|-1.81
Terzan 8 | 23.0|  2.3|-10.6|-1.87
Pal 11   | 10.3|  6.4| -3.4|-0.39
NGC 6838 |  2.1|  3.2| -0.3|-0.73
NGC 6864 | 15.5|  5.7| -8.0|-1.32
NGC 6934 |  8.8| 11.3| -4.9|-1.54
NGC 6981 | 11.6|  8.1| -9.1|-1.54
NGC 7006 | 17.0| 34.4|-13.5|-1.68
NGC 7078 |  3.8|  8.2| -4.7|-2.22
NGC 7089 |  5.5|  7.4| -6.7|-1.62
NGC 7099 |  4.8|  2.5| -5.7|-2.12
Pal 12   | 10.8|  6.4|-13.8|-0.93
Pal 13   |  1.0| 19.3|-17.9|-1.65
NGC 7492 |  6.7|  9.0|-22.5|-1.51

