Galaxy,l,b
Canis Majorb,240.0,−8.0
Sagittarius dSph,5.6,−14.2
Segue (I),220.5,+50.4
Ursa Major II,152.5,+37.4
Bootes II,353.7,+68.9
Segue II,149.4,−38.1
Willman 1,158.6,+56.8
Coma Berenices,241.9,+83.6
Bootes III,35.4,+75.4
LMC,280.5,−32.9
SMC,302.8,−44.3
Bootes (I),358.1,+69.6
Draco,86.4,+34.7
Ursa Minor,105.0,+44.8
Sculptor,287.5,−83.2
Sextans (I),243.5,+42.3
Ursa Major (I),159.4,+54.4
Carina,260.1,−22.2
Hercules,28.7,+36.9
Fornax,237.1,−65.7
Leo IV,264.4,+57.4
Canes Venatici II,113.6,+82.7
Leo V,261.9,+58.5
Pisces II,79.2,−47.1
Canes Venatici (I),74.3,+79.8
Leo II,220.2,+67.2
Leo I,226.0,+49.1
Andromeda,121.2,−21.6
M32,121.2,−22.0
Andromeda IX,123.2,−19.7
NGC 205,120.7,−21.1
Andromeda XVII,120.2,−18.5
Andromeda I,121.7,−24.8
Andromeda XXVII,120.4,−17.4
Andromeda III,119.4,−26.3
Andromeda XXV,119.2,−15.9
Andromeda XXVI,118.1,−14.7
Andromeda XI,121.7,−29.1
Andromeda V,126.2,−15.1
Andromeda X,125.8,−18.0
Andromeda XXIII,131.0,−23.6
Andromeda XX,112.9,−26.9
Andromeda XII,122.0,−28.5
NGC 147,119.8,−14.3
Andromeda XXI,111.9,−19.2
Andromeda XIV,123.0,−33.2
Andromeda XV,127.9,−24.5
Andromeda XIII,123.0,−29.9
Andromeda II,128.9,−29.2
NGC 185,120.8,−14.5
Andromeda XXIX,109.8,−30.8
Andromeda XIX,115.6,−27.4
Triangulumk,133.6,−31.3
Andromeda XXIV,127.8,−16.3
Andromeda VII,109.5,−10.0
Andromeda XXII,132.6,−34.1
IC 10,119.0,−3.3
LGS 3,126.8,−40.9
Andromeda VI,106.0,−36.3
Andromeda XVI,124.9,−30.5
Andromeda XXVIII,91.0,−22.9
IC 1613,129.7,−60.6
Phoenix,272.2,−68.9
NGC 6822,25.4,−18.4
Cetus,101.5,−72.9
Pegasus dIrr,94.8,−43.6
Leo T,214.9,+43.7
WLM,75.9,−73.6
Leo A,196.9,+52.4
Andromeda XVIII,113.9,−16.9
Aquarius,34.0,−31.3
Tucana,322.9,−47.4
Sagittarius dIrr,21.1,−16.3
UGC 4879,164.7,+42.9
NGC 3109,262.1,+23.1
Sextans B,233.2,+43.8
Antlia,263.1,+22.3
Sextans A,246.1,+39.9
HIZSS 3(A),217.7,+0.1
HIZSS 3B,217.7,+0.1
KKR 25,83.9,+44.4
ESO 410- G 005,357.8,−80.7
NGC 55,332.9,−75.7
ESO 294- G 010,320.4,−74.4
NGC 300,299.2,−79.4
IC 5152,343.9,−50.2
KKH 98,109.1,−22.4
UKS 2323-326,11.9,−70.9
KKR 3,63.7,+72.0
GR 8,310.7,+77.0
UGC 9128,25.6,+70.5
UGC 8508,111.1,+61.3
IC 3104,301.4,−17.0
DDO 125,137.8,+72.9
UGCA 86,139.8,+10.6
DDO 99,166.2,+72.7
IC 4662,328.5,−17.8
DDO 190,82.0,+64.5
KKH 86,339.0,+62.6
NGC 4163,163.2,+77.7
DDO 113,161.1,+78.1
