ALS|GLON(deg)|GLAT(deg)
13354|  117.32|    1.60
18110|  117.01|    0.01
13355|  116.98|   -0.14
18109|  117.23|    1.03
13356|  117.33|    1.48
13357|  117.11|    0.37
13358|  118.02|    4.83
18111|  117.12|    0.21
18090|  116.79|   -1.45
13359|  116.84|   -1.22
13360|  117.16|    0.27
13361|  117.06|   -0.21
13362|  117.57|    2.27
13363|  116.48|   -3.26
13364|  117.65|    2.64
13365|  117.58|    2.24
13366|  116.52|   -3.10
13367|  116.76|   -1.91
18091|  117.32|    0.92
18092|  117.39|    1.17
13368|  117.60|    2.16
13369|  117.41|    1.21
13370|  117.62|    2.27
13371|  117.57|    1.99
13372|  116.97|   -1.07
13373|  116.83|   -1.83
16480|  113.22|  -19.56
13374|  117.42|    1.13
13375|  118.20|    5.09
13376|  117.64|    2.23
16605|   94.59|  -63.14
13377|  117.25|    0.08
13378|  118.22|    5.01
13379|  118.21|    4.99
13380|  118.22|    5.00
13381|  116.89|   -1.86
13382|  117.06|   -1.05
17957|  118.23|    5.01
13383|  117.18|   -0.44
16179|   16.55|  -78.90
13384|  118.26|    5.15
13385|  117.48|    1.12
13386|  117.38|    0.56
13387|  118.30|    5.28
13388|  116.96|   -1.71
13389|  117.06|   -1.20
13390|  117.07|   -1.13
18112|  117.09|   -1.05
 6001|  116.96|   -2.08
 6002|  117.63|    1.26
14738|  116.13|   -6.69
 6004|  117.15|   -1.35
 6003|  117.19|   -1.13
 6005|  117.18|   -1.34
15812|   72.11|  -75.26
 6006|  117.23|   -1.24
 6007|  117.19|   -1.49
 6008|  117.81|    1.84
 6009|  117.44|   -0.14
 6010|  117.65|    0.90
 6011|  117.70|    1.17
 6012|  117.47|   -0.08
 6013|  117.09|   -2.18
 6014|  118.22|    3.91
 6015|  116.31|   -6.39
16622|  116.02|   -7.96
 6016|  117.63|    0.68
 6017|  117.63|    0.67
 6018|  117.17|   -1.85
 6019|  117.94|    2.28
 6020|  117.63|    0.61
 6021|  117.32|   -1.11
 6022|  117.74|    1.14
18113|  117.61|    0.43
16481|  113.72|  -19.94
16860|  308.18|  -45.21
 6023|  117.39|   -0.87
 6024|  117.22|   -1.76
 6025|  117.16|   -2.11
 6026|  117.26|   -1.55
 6027|  118.61|    5.71
18114|  117.60|    0.22
17935|  116.88|   -3.79
 6028|  117.84|    1.41
18115|  117.65|    0.19
18093|  117.87|    1.37
 6030|  117.37|   -1.54
 6029|  117.90|    1.39
14739|  114.17|  -18.69
 6031|  116.97|   -3.85
 6032|  117.70|    0.17
 6033|  117.45|   -1.35
 6034|  117.91|    1.19
 6035|  117.43|   -1.52
 6036|  117.93|    1.25
 6037|  117.86|    0.80
 6038|  118.03|    1.77
 6039|  117.65|   -0.38
 6040|  117.27|   -2.52
 6041|  118.08|    1.96
16524|  118.06|    1.75
 6042|  117.77|    0.09
18116|  118.07|    1.64
 6043|  117.48|   -1.80
 6044|  117.35|   -2.53
18094|  117.79|   -0.05
 6045|  117.78|   -0.12
 6046|  117.47|   -2.08
 6048|  117.15|   -4.04
 6047|  117.76|   -0.53
 6049|  118.15|    1.57
 6050|  117.99|    0.63
16525|   98.02|  -63.29
 6051|  117.37|   -3.14
 6052|  118.32|    2.35
 6053|  118.07|    0.87
 6054|  118.13|    1.21
 6055|  118.09|    0.88
 6056|  118.23|    1.59
16723|  111.73|  -32.84
 6057|  117.61|   -2.31
 6058|  118.18|    0.93
18117|  118.03|    0.07
 6059|  116.90|   -6.71
 6060|  117.23|   -4.97
 6061|  117.82|   -1.54
 6062|  117.71|   -2.31
 6063|  117.92|   -1.04
 6064|  118.15|    0.31
 6065|  117.79|   -1.90
 6066|  118.27|    0.87
 6067|  117.83|   -1.79
 6068|  118.23|    0.63
 6069|  118.42|    1.70
 6070|  118.39|    1.51
 6071|  118.35|    1.15
 6072|  117.86|   -1.93
 6073|  117.87|   -1.92
 6074|  117.79|   -2.55
 6075|  118.14|   -0.42
16526|  117.38|   -5.26
 6076|  118.25|    0.13
 6077|  117.79|   -2.79
17637|  117.65|   -3.70
 6078|  118.66|    2.43
18095|  118.57|    1.40
 6079|  118.12|   -1.53
 6080|  117.69|   -4.25
 6081|  117.56|   -5.19
 6082|  118.46|    0.51
 6083|  118.25|   -1.12
 6084|  118.13|   -2.28
18118|  118.65|    1.04
16512|  114.55|  -24.55
 6085|  118.64|    0.90
 6086|  117.52|   -6.61
15090|  109.43|  -46.68
 6087|  118.66|    0.69
 6088|  118.57|    0.06
 6089|  118.07|   -3.29
 6090|  118.37|   -1.32
 6091|  118.87|    1.97
 6092|  118.82|    1.60
16636|  117.42|   -8.00
 6093|  118.90|    1.97
16757|   78.89|  -77.09
 6094|  118.17|   -3.10
 6095|  118.60|   -0.30
 6096|  118.72|    0.33
 6097|  118.77|    0.65
 6098|  118.80|    0.80
 6099|  117.78|   -6.25
 6100|  118.77|    0.40
 6101|  118.72|   -0.03
 6102|  118.86|    0.92
 6103|  118.77|    0.23
 6104|  118.78|    0.26
 6105|  118.88|    0.90
 6106|  118.89|    0.96
 6107|  118.54|   -1.59
 6108|  118.38|   -2.77
 6109|  118.74|   -0.32
 6110|  118.30|   -3.43
 6111|  118.75|   -0.33
 6112|  119.03|    1.55
 6113|  118.49|   -3.02
 6114|  118.82|   -0.67
 6115|  119.04|    0.89
 6116|  118.44|   -3.49
 6117|  118.66|   -1.97
 6118|  118.94|   -0.05
17332|   72.13|  -79.47
 6119|  118.84|   -0.83
 6120|  118.90|   -0.44
 6121|  119.00|    0.29
16396|  117.01|  -14.53
 6122|  118.78|   -1.72
 6123|  119.10|    0.54
14758|  117.59|  -11.09
 6125|  118.97|   -0.88
 6124|  119.19|    0.85
 6126|  119.22|    0.71
 6127|  119.02|   -0.89
 6128|  119.25|    0.60
 6129|  119.33|    0.93
 6130|  119.34|    1.02
 6131|  118.93|   -2.28
 6132|  119.55|    2.56
 6133|  119.35|    0.94
 6134|  119.41|    1.17
 6135|  118.95|   -2.59
 6136|  119.28|   -0.25
 6137|  119.27|   -0.58
 6138|  119.34|   -0.19
17436|  115.13|  -31.47
 6139|  119.35|   -0.26
 6140|  118.92|   -3.81
 6141|  119.10|   -2.36
 6142|  118.60|   -6.90
 6143|  119.10|   -2.80
 6144|  119.58|    1.14
 6145|  119.39|   -0.93
 6146|  119.37|   -1.21
 6147|  119.51|   -0.07
 6148|  119.03|   -4.31
 6149|  119.76|    1.91
 6150|  119.44|   -0.91
 6151|  119.44|   -0.92
 6152|  119.65|    0.83
 6153|  119.59|    0.27
 6154|  119.51|   -0.49
 6155|  119.44|   -1.11
 6156|  119.48|   -0.93
 6157|  119.48|   -1.02
 6158|  119.52|   -0.85
 6159|  119.61|   -0.45
 6160|  119.62|   -0.45
 6161|  119.50|   -1.48
 6162|  119.76|    0.74
16758|  358.89|  -82.70
 6163|  119.76|    0.33
 6164|  119.96|    2.00
 6165|  119.81|    0.63
14564|  119.83|    0.66
 6166|  119.87|    1.01
 6167|  119.45|   -2.84
 6168|  119.89|    1.11
 6169|  119.73|   -0.38
 6170|  119.69|   -0.76
 6171|  119.74|   -0.42
 6172|  119.55|   -2.18
 6173|  119.77|   -0.25
16759|  330.53|  -78.21
 6174|  119.66|   -1.36
 6176|  119.80|   -0.08
 6175|  119.93|    1.11
 6177|  119.67|   -1.39
14565|  118.68|  -10.63
 6178|  119.19|   -5.94
 6179|  119.75|   -0.86
 6180|  119.75|   -0.99
 6181|  119.85|   -0.30
 6182|  119.16|   -6.89
16397|  119.79|   -0.88
 6183|  119.66|   -2.34
16398|  118.92|   -9.62
 6185|  119.92|   -0.10
 6184|  120.13|    1.94
 6186|  119.79|   -1.61
 6187|  120.17|    2.01
 6189|  119.95|   -0.31
 6188|  120.09|    1.09
 6190|  120.00|    0.05
 6191|  119.85|   -1.46
14566|  120.91|    9.04
 6192|  120.00|   -0.20
 6193|  120.00|   -0.18
16637|  116.57|  -31.26
 6194|  119.89|   -1.40
 6195|  120.00|   -0.35
 6196|  120.09|    0.54
 6197|  120.07|    0.27
18585|  120.03|   -0.24
14567|  120.07|    0.03
 6198|  120.02|   -0.47
 6199|  120.03|   -0.50
 6201|  119.82|   -2.70
 6200|  120.15|    0.71
 6202|  119.96|   -1.32
 6203|  120.14|    0.47
 6204|  120.26|    1.69
 6205|  119.99|   -1.68
19950|  118.94|  -12.70
 6206|  120.35|    1.96
 6207|  120.21|    0.32
 6208|  120.09|   -1.06
14568|  119.83|   -4.17
 6209|  120.19|   -0.48
 6210|  120.05|   -2.11
 6211|  120.37|    1.34
 6212|  120.11|   -1.64
 6214|  120.18|   -1.05
 6213|  120.40|    1.37
 6215|  119.70|   -6.33
 6216|  120.30|   -0.27
 6217|  120.33|   -0.10
 6218|  120.32|   -0.25
14569|  120.37|    0.34
 6219|  120.21|   -1.84
 6221|  119.84|   -6.05
 6220|  120.35|   -0.34
 6222|  120.23|   -1.77
 6223|  120.21|   -2.22
 6224|  120.39|   -0.39
 6225|  120.45|   -0.08
 6226|  120.49|    0.30
 6227|  120.27|   -2.41
 6229|  120.27|   -2.55
 6228|  120.49|    0.07
 6230|  120.49|    0.06
 6231|  120.28|   -2.61
17433|  120.50|   -0.18
16399|  120.29|   -2.79
 6233|  120.60|    0.90
 6232|  120.97|    5.35
 6234|  120.74|    2.49
 6235|  120.58|    0.58
17434|  120.53|   -0.14
 6236|  120.35|   -2.45
14638|  120.53|   -0.42
 6237|  120.53|   -0.48
 6238|  120.60|    0.16
 6239|  120.36|   -3.28
 6240|  120.61|   -0.35
 6241|  120.48|   -2.09
 6242|  120.67|   -0.11
19540|  120.00|   -8.80
 6243|  120.52|   -2.21
 6244|  120.70|    0.10
 6245|  120.69|   -0.10
 6246|  120.72|    0.36
 6248|  120.79|    1.05
 6247|  121.18|    6.15
 6249|  120.77|    0.42
 6252|  120.80|    0.27
 6250|  121.21|    5.86
 6251|  121.18|    5.40
 6253|  120.82|    0.47
 6254|  120.82|    0.29
 6255|  120.83|    0.51
 6256|  120.79|   -0.14
 6257|  120.86|    0.75
16638|  119.28|  -20.48
 6258|  120.84|    0.14
17435|  120.81|   -0.34
 6260|  120.89|    0.50
 6261|  120.89|    0.50
 6262|  120.83|   -0.26
 6259|  121.16|    4.34
 6263|  120.95|    1.20
 6264|  120.93|    0.36
 6265|  120.95|    0.32
 6266|  121.23|    3.88
16914|  306.22|  -53.96
16400|  121.25|    3.93
 6267|  120.65|   -5.26
 6268|  121.03|   -0.36
 6269|  121.09|    0.49
 6270|  121.08|    0.17
 6271|  121.09|    0.18
 6272|  120.87|   -3.49
 6273|  121.07|   -1.36
 6274|  121.02|   -2.30
17272|  120.67|   -8.64
16527|  118.81|  -35.50
 6275|  121.25|    0.62
 6276|  121.24|    0.51
 6277|  121.08|   -2.49
 6278|  121.27|    0.57
 6279|  121.09|   -2.57
16324|  117.70|  -47.49
 6280|  121.08|   -3.13
18006|  119.47|  -29.05
 6281|  121.31|    0.58
15091|  120.78|   -8.91
 6283|  121.22|   -1.46
 6282|  121.40|    1.75
19951|  121.05|   -4.80
 6284|  121.32|    0.01
19541|  121.91|   10.05
17216|  108.17|  -77.49
 6285|  121.68|    4.25
 6286|  121.34|   -2.77
 6287|  121.53|   -0.60
 6288|  121.61|    0.84
 6290|  121.66|    1.78
 6289|  121.72|    3.04
 6291|  121.52|   -1.88
 6292|  121.51|   -2.89
 6293|  121.76|    1.07
 6294|  121.76|    0.58
 6296|  121.78|    0.57
 6295|  121.91|    4.00
 6297|  121.68|   -1.98
14639|  120.79|  -23.23
 6299|  121.77|    0.09
 6298|  121.89|    3.11
 6300|  121.85|    1.48
 6301|  121.85|    0.75
16378|  121.41|  -12.33
 6302|  121.95|    1.20
16401|  121.77|   -4.10
 6303|  121.94|    0.39
 6304|  122.00|    1.44
 6305|  121.88|   -2.60
 6306|  121.88|   -2.38
 6307|  121.95|   -0.62
 6308|  122.05|    2.06
 6310|  121.97|   -0.95
 6309|  122.05|    1.43
 6311|  121.93|   -2.58
 6312|  122.08|    1.90
 6313|  122.10|    1.32
 6315|  121.99|   -2.45
 6314|  122.11|    1.19
 6316|  122.06|   -0.77
 6317|  122.15|    1.60
