#|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J2109.8-8618 |21 09 50.9|-86 18 28|    2.5785e-10|          3.6704e-11|               13.3576|PowerLaw        |3FGL J2108.6-8619  |2MASS J21101113-8618473     |           000|
|4FGL J1027.0-8542 |10 27 03.5|-85 42 59|    1.0351e-09|          5.7068e-11|               34.9142|LogParabola     |3FGL J1026.4-8542  |PKS 1029-85                 |           000|
|4FGL J0931.2-8533 |09 31 16.2|-85 33 45|    3.7981e-10|          3.8823e-11|               13.1414|PowerLaw        |                   |PKS 0936-853                |           000|
|4FGL J0533.0-8446 |05 33 04.2|-84 46 42|    1.3607e-10|          3.0012e-11|                4.9450|PowerLaw        |                   |PMN J0532-8447              |           000|
|4FGL J0044.2-8424 |00 44 17.1|-84 24 06|    1.7847e-10|          3.0829e-11|                7.0696|PowerLaw        |3FGL J0046.7-8419  |PKS 0044-84                 |           000|
|4FGL J1030.2-8403 |10 30 14.9|-84 03 26|    1.8647e-10|          3.4350e-11|                7.3440|PowerLaw        |2FGL J1032.9-8401  |PMN J1030-8402              |           000|
|4FGL J1619.0-8346 |16 19 05.9|-83 46 52|    1.2466e-10|          2.7843e-11|                4.5517|PowerLaw        |                   |PKS 1608-83                 |           000|
|4FGL J1435.9-8348 |14 35 54.7|-83 48 06|    5.6986e-10|          4.8597e-11|               16.8722|LogParabola     |                   |PMN J1433-8340              |           002|
|4FGL J2201.5-8339 |22 01 30.9|-83 39 47|    1.6889e-09|          6.8546e-11|               41.8835|LogParabola     |3FGL J2202.4-8339  |PKS 2155-83                 |           000|
|4FGL J0532.9-8325 |05 32 58.9|-83 25 57|    2.2968e-10|          4.0208e-11|                8.0652|PowerLaw        |3FGL J0533.6-8323  |PKS 0541-834                |           016|
|4FGL J1036.5-8318 |10 36 36.0|-83 18 45|    7.5084e-10|          5.5314e-11|               19.8041|PLSuperExpCutoff|3FGL J1036.0-8317  |PSR J1036-8317              |           000|
|4FGL J1224.7-8313 |12 24 47.8|-83 13 33|    5.9028e-10|          4.8285e-11|               19.1050|LogParabola     |3FGL J1224.6-8312  |PKS 1221-82                 |           000|
|4FGL J0737.3-8247 |07 37 23.3|-82 47 12|    5.0742e-10|          4.3752e-11|               19.1694|PowerLaw        |3FGL J0737.8-8245  |SUMSS J073706-824836        |           000|
|4FGL J2258.5-8247 |22 58 33.3|-82 47 04|    5.3018e-10|          5.0287e-11|               15.7393|LogParabola     |3FGL J2258.1-8248  |PMN J2258-8246              |           000|
|4FGL J1505.5-8241 |15 05 30.5|-82 41 59|    2.4583e-10|          3.7820e-11|               11.4053|PowerLaw        |3FGL J1504.5-8242  |WISEA J150525.41-824231.1   |           000|
|4FGL J0250.2-8224 |02 50 17.6|-82 24 13|    3.1353e-10|          3.6422e-11|               13.0092|LogParabola     |3FGL J0244.4-8224  |PMN J0251-8226              |           000|
|4FGL J0921.2-8211 |09 21 17.1|-82 11 09|    2.5423e-10|          3.7962e-11|                8.5602|LogParabola     |                   |PKS 0924-819                |           000|
|4FGL J0019.3-8152 |00 19 19.8|-81 52 47|    6.3424e-10|          4.3094e-11|               22.3713|PowerLaw        |3FGL J0018.9-8152  |PMN J0019-8152              |           000|
|4FGL J1717.5-8114 |17 17 31.8|-81 14 19|    2.4834e-10|          3.7563e-11|                9.2743|PowerLaw        |3FGL J1716.7-8112  |1RXS J171712.6-811501       |           000|
|4FGL J1642.3-8108 |16 42 20.5|-81 08 15|    1.4209e-10|          2.9611e-11|                5.0720|PowerLaw        |                   |PKS 1633-810                |           000|
|4FGL J0449.6-8100 |04 49 36.0|-81 00 46|    1.0575e-10|          2.6166e-11|                5.1645|PowerLaw        |                   |PKS 0454-81                 |           000|
|4FGL J1806.9-8038 |18 06 59.4|-80 38 34|    1.1853e-10|          3.0337e-11|                4.4556|PowerLaw        |                   |PKS 1757-807                |           002|
|4FGL J0836.0-8015 |08 36 00.9|-80 15 23|    6.4573e-11|          2.2530e-11|                4.8524|PowerLaw        |                   |2MASS J08354940-8016114     |           000|
|4FGL J1913.0-8009 |19 13 04.8|-80 09 27|    1.6877e-09|          7.1230e-11|               39.1368|LogParabola     |3FGL J1912.9-8008  |PKS 1903-80                 |           000|
|4FGL J1058.6-8003 |10 58 38.4|-80 03 50|    1.7374e-09|          7.0225e-11|               38.9817|LogParabola     |3FGL J1058.5-8003  |PKS 1057-79                 |           000|
|4FGL J1537.7-7957 |15 37 45.5|-79 57 27|    6.9380e-10|          4.7478e-11|               20.9286|PowerLaw        |3FGL J1537.8-8000  |PMN J1537-7958              |           000|
|4FGL J0224.0-7941 |02 24 01.3|-79 41 36|    2.7663e-10|          3.1556e-11|               11.7957|PowerLaw        |3FGL J0224.1-7941  |PMN J0223-7940              |           000|
|4FGL J1420.9-7920 |14 20 56.8|-79 20 58|    4.5793e-10|          4.5187e-11|               13.7769|LogParabola     |3FGL J1421.8-7920  |PMN J1421-7920              |           000|
|4FGL J0303.3-7913 |03 03 21.8|-79 13 25|    2.5360e-10|          3.2261e-11|               10.3674|PowerLaw        |3FGL J0302.5-7915  |PMN J0303-7914              |           000|
|4FGL J1423.5-7829 |14 23 32.0|-78 29 54|    6.5846e-10|          5.0354e-11|               19.1256|LogParabola     |3FGL J1422.8-7828  |PKS 1418-782                |           000|
|4FGL J2103.4-7816 |21 03 28.2|-78 16 39|    1.5564e-10|          4.2890e-11|                3.7221|LogParabola     |                   |PKS 2059-78                 |          4112|
|4FGL J2230.9-7815 |22 30 54.8|-78 15 34|    3.5837e-10|          3.6641e-11|               13.1426|PowerLaw        |3FGL J2230.5-7817  |PKS 2225-785                |           000|
|4FGL J1208.2-7810 |12 08 13.7|-78 10 48|    2.5114e-10|          3.8156e-11|                9.1146|PowerLaw        |3FGL J1208.2-7810c |PKS 1205-778                |           000|
|4FGL J1130.5-7801 |11 30 30.0|-78 01 24|    3.9922e-10|          4.5763e-11|               20.3334|LogParabola     |3FGL J1130.7-7800  |SUMSS J113032-780105        |           004|
|4FGL J1337.5-7802 |13 37 32.6|-78 02 42|    2.3984e-10|          3.6288e-11|                8.6964|PowerLaw        |                   |RX J1338.2-7801             |           004|
|4FGL J2144.3-7802 |21 44 20.5|-78 02 04|    9.8403e-11|          3.4414e-11|                4.5216|LogParabola     |                   |PKS 2141-781                |           004|
|4FGL J2007.3-7728 |20 07 23.2|-77 28 41|    4.1520e-10|          4.6115e-11|               12.0945|LogParabola     |3FGL J2007.7-7728  |PKS 2000-776                |           000|
|4FGL J1514.4-7719 |15 14 25.5|-77 19 57|    5.4971e-11|          2.0131e-11|                6.3913|LogParabola     |                   |1RXS J151448.8-772249       |           000|
|4FGL J0756.6-7723 |07 56 41.2|-77 23 22|    7.0537e-11|          2.4781e-11|                5.2056|LogParabola     |                   |SUMSS J075624-772151        |          2048|
|4FGL J1617.9-7718 |16 17 55.3|-77 18 14|    1.3754e-09|          5.9235e-11|               39.3821|LogParabola     |3FGL J1617.7-7717  |PKS 1610-77                 |           000|
|4FGL J1643.0-7714 |16 43 05.3|-77 14 56|    1.4342e-10|          2.9237e-11|                5.0629|PowerLaw        |                   |PKS 1636-77                 |           000|
|4FGL J1723.6-7714 |17 23 41.3|-77 14 15|    2.7074e-09|          8.2877e-11|               58.1599|LogParabola     |3FGL J1723.7-7713  |PKS 1716-771                |           000|
|4FGL J0734.4-7711 |07 34 26.8|-77 11 07|    8.8179e-10|          5.7398e-11|               23.0037|LogParabola     |3FGL J0734.3-7709  |PKS 0736-770                |           000|
|4FGL J1344.1-7700 |13 44 08.7|-77 00 49|    2.3518e-10|          3.7173e-11|                6.8212|PowerLaw        |                   |PMN J1343-7658              |           002|
